"Name","Aliases","Type","Programs","Country","Details","IMO","MMSI","Source_Agency","Source_List","UID","DOB","POB","Nationality","Addresses","Identifiers","Remarks"
"GIBBS & COX, INC.","吉布斯与考克斯公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"ADVANCED ACOUSTIC CONCEPTS","先进声学概念有限责任公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"VSE CORPORATION","VSE公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"SIERRA TECHNICAL SERVICES, INC.","塞拉技术服务公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"RED CAT HOLDINGS, INC.","红猫控股公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"TEAL DRONES, INC.","蒂尔无人机公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"RECONCRAFT","侦察艇有限责任公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"HIGH POINT AEROTECHNOLOGIES","高点航空技术公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"EPIRUS, INC.","伊庇鲁斯公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"DEDRONE HOLDINGS INC.","迪德罗恩公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"AREA-I","I领域公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"BLUE FORCE TECHNOLOGIES","蓝力技术公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"DIVE TECHNOLOGIES","潜航技术公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"VANTOR","万拓公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"INTELLIGENT EPITAXY TECHNOLOGY, INC.","英特磊公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"RHOMBUS POWER INC.","菱形力量公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"LAZARUS ENTERPRISES INC.","拉撒路人工智能公司","实体/公司","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"PALMER LUCKEY","帕尔默·卢基","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"JOHN CANTILLON","约翰·坎蒂伦","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"MICHAEL J. CARNOVALE","迈克尔·卡诺维尔","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"JOHN A. CUOMO","约翰·库默","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"MITCH MCDONALD","米奇·麦克唐纳","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"ANSHUMAN ROY","安舒曼·罗伊","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"DAN SMOOT","丹·斯穆特","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"AADITYA DEVARAKONDA","阿迪亚·德瓦拉孔达","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"ANN WOOD","安·伍德","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
"JAY HOFLICH","杰伊·霍夫利奇","个人","China - MFA Anti-Sanctions","USA","冻结财产;禁止有关交易、合作等活动;不予签发签证、不准入境","","","China Ministry of Foreign Affairs","MFA Anti-Sanctions","","","","","","","外交部令第19号 (2025年12月26日)"
